"","PlayerName","N","MOTM","TM","DM","LB","MC","FT","LS","BS","T","TA","C","P","DG","YC","RC","AP","Country"
"1","J. Willis",4,NA,54,5,1,76,NA,NA,3,1,NA,NA,NA,NA,1,NA,38.4,"England"
"2","L. Ludlam",5,NA,60,7,1,193,NA,NA,2,NA,1,NA,NA,NA,NA,NA,38.3,"England"
"3","M. Malins",4,NA,31,2,2,231,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,37.8,"England"
"4","T. Ramos",5,1,6,2,5,502,NA,NA,NA,3,2,18,10,1,NA,NA,70.9,"France"
"5","D. Penaud",5,NA,21,2,7,397,NA,NA,NA,5,1,NA,NA,NA,NA,NA,55.5,"France"
"6","T. Flament",5,NA,77,4,3,165,NA,1,NA,3,NA,NA,NA,NA,NA,NA,48.6,"France"
"7","J. Lowe",5,NA,13,5,10,533,NA,NA,1,3,2,NA,NA,NA,NA,NA,66.1,"Ireland"
"8","M. Hansen",5,2,19,2,7,328,NA,NA,3,3,1,NA,NA,NA,NA,NA,58.1,"Ireland"
"9","H. Keenan",5,1,15,2,4,562,1,NA,NA,2,1,NA,NA,NA,NA,NA,53.5,"Ireland"
"10","A. Capuozzo",3,NA,5,1,4,301,NA,NA,1,1,NA,NA,NA,NA,NA,NA,40.7,"Italy"
"11","T. Allan",5,NA,21,NA,4,327,NA,NA,NA,1,1,4,7,NA,NA,NA,35.9,"Italy"
"12","D. Fischetti",5,NA,46,10,1,146,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,31.8,"Italy"
"13","F. Russell",4,1,30,1,1,338,2,NA,NA,1,4,9,3,NA,NA,NA,59.7,"Scotland"
"14","D. van der Merwe",5,1,11,NA,8,482,NA,NA,NA,3,2,NA,NA,NA,NA,NA,52.3,"Scotland"
"15","H. Jones",5,NA,39,1,4,438,NA,NA,NA,4,1,NA,NA,NA,NA,NA,50.4,"Scotland"
"16","R. Dyer",4,NA,16,2,6,313,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,43.2,"Wales"
"17","J. Tipuric",4,NA,50,8,NA,85,NA,2,2,NA,1,NA,NA,NA,NA,NA,41.5,"Wales"
"18","L. Williams",3,NA,12,NA,3,239,NA,NA,2,2,NA,NA,NA,NA,2,NA,40.3,"Wales"
