,Number of matches,Man of the match,Tackles,Dominant tackles,Line breaks,Meters carried,50-22,Line out steals,Breakdown steal,Try,Assist,Conversion,Penalty,Drop goal,Yellow card,Red card,Average points
J. Willis,4,,54,5,1,76,,,3,1,,,,,1,,38.4
L. Ludlam,5,,60,7,1,193,,,2,,1,,,,,,38.3
M. Malins,4,,31,2,2,231,,,,2,,,,,,,37.8
O. Lawrence,4,1,18,2,2,203,,,2,1,,,,,,,36.7
M. Itoje,5,,57,6,,101,,,3,,1,,,,,,32.6
O. Farrell,5,,45,1,,186,,,2,,,5,6,,,,31.8
F. Steward,5,1,11,2,,449,,,,1,1,,,,,1,31.6
A. Dombrandt,5,,41,1,1,265,,,3,,1,,,,,,29.9
O. Chessum,4,,27,4,,139,,,,1,,,,,,,28.5
A. Watson,4,,11,3,3,182,,,,1,,,,,,,28.1
K. Sinckler,5,,46,4,,130,,,,1,,,,,,,25.3
J. George,5,,53,2,,71,,,,2,,,,,,,25.3
E. Genge,5,,30,2,,202,,,,1,1,,,,,,23.4
M. Tuilagi,1,,7,1,,46,,,,,,,,,,,23.2
M. Smith,4,,20,,1,234,,,,,1,1,1,,,,22.2
B. Curry,4,,20,5,,87,,,2,,,,,,,,22.1
H. Slade,4,,15,,3,106,,,,,,,,,,,18.1
O. Hassell-Collins,2,,6,,,108,,,,,,,,,,,16.5
J. van Poortvliet,5,,20,1,2,69,,,,,1,,,,,,15
B. Earl,2,,8,1,,52,,,,,,,,,,,14.1
H. Arundell,4,,5,,,83,,,1,1,,,,,,,11.6
D. Ribbans,2,,11,1,,21,,,,,,,,,,,11.1
J. Marchant,2,,8,,,62,,,,,,,,,,,10.2
M. Vunipola,5,,13,,,79,,,,,,,,,,,6.8
A. Mitchell,4,,6,,,12,,,,,2,,,,,,6.3
B. Youngs,1,,1,,,25,,,,,,,,,,,6
N. Isiekwe,3,,5,1,,3,,,,,,,,,,,4.7
J. Walker,3,,6,,,30,,,,,,,,,,,4.3
C. Lawes,1,,1,,,6,,,,,,,,,,,3.3
D. Cole,5,,8,,,16,,,,,,,,,,,3.2
