,Number of matches,Man of the match,Tackles,Dominant tackles,Line breaks,Meters carried,50-22,Line out steals,Breakdown steal,Try,Assist,Conversion,Penalty,Drop goal,Yellow card,Red card,Average points
T. Ramos,5,1,6,2,5,502,,,,3,2,18,10,1,,,70.9
D. Penaud,5,,21,2,7,397,,,,5,1,,,,,,55.5
T. Flament,5,,77,4,3,165,,1,,3,,,,,,,48.6
G. Fickou,5,1,65,2,2,305,,,,2,1,,,,,,47.6
A. Dupont,5,1,50,2,4,253,1,,1,,4,,,,,,46.6
J. Danty,2,,17,1,,98,,,1,1,,,,,,,40.1
C. Ollivon,5,,61,2,1,217,,1,1,2,,,,,1,,38.6
A. Jelonch,3,,45,3,1,89,,,1,,1,,,,,,38.2
R. Ntamack,5,1,41,,2,194,,,,1,4,,,,,,36.1
E. Dumortier,5,,11,,6,232,,,,2,1,,,,,,33.6
G. Alldritt,5,,38,3,1,246,,,2,,1,,,,,,31.9
F. Cros,4,,45,4,,64,,,,,,,,,,,27
J. Marchand,5,,58,,,101,,,3,,,,,,,,24.7
P. Willemse,4,,38,4,,48,,,,,,,,,,,22.8
U. Atonio,3,,22,2,,39,,,,1,,,,,1,,21.2
R. Taofifenua,5,,32,2,,48,,,4,,1,,,,,,21
C. Baille,5,,38,1,,173,,,,,,,,,,,20.4
P. Mauvaka,2,,8,,,25,,1,1,,,,,,,,16
Y. Moefana,5,,24,,1,153,,,,,,,,,,,15.9
S. Falatea,5,,20,5,,44,,,,,,,,,,,15.9
M. Jaminet,1,,2,,,11,,,,,1,,,,,,11.9
D. Aldegheri,1,,6,,,,,,,,,,,,,,11
G. Barlot,3,,6,1,,27,,1,,,,,,,,,9.5
M. Jalibert,3,,3,,,37,,,,1,,,,,,,9.3
R. Wardi,5,,22,1,,23,,,,,,,,,,,8.6
S. Macalou,4,,13,,,23,,,1,,,,,,,,7.2
B. Chalureau,1,,2,,,13,,,,,,,,,,,6.6
M. Lucu,2,,1,,,2,,,,,,,,,,,1.5
M. Haouas,1,,1,,,,,,,,,,,,,1,-7.9
