,Number of matches,Man of the match,Tackles,Dominant tackles,Line breaks,Meters carried,50-22,Line out steals,Breakdown steal,Try,Assist,Conversion,Penalty,Drop goal,Yellow card,Red card,Average points
J. Lowe,5,,13,5,10,533,,,1,3,2,,,,,,66.1
M. Hansen,5,2,19,2,7,328,,,3,3,1,,,,,,58.1
H. Keenan,5,1,15,2,4,562,1,,,2,1,,,,,,53.5
J. Ryan,5,,59,6,,232,,5,,2,,,,,,,50.5
D. Sheehan,4,1,18,4,5,143,,1,,2,,,,,,,45
C. Doris,5,1,48,2,,273,,,4,1,1,,,,,,42.9
J. Sexton,4,,23,1,2,203,,,2,,,10,5,,,,42.4
J. van der Flier,5,,61,4,2,201,,,1,1,1,,,,,,42.4
G. Ringrose,3,,21,1,2,167,,,,1,1,,,,,,40.2
T. Beirne,2,,18,3,1,60,,,1,,,,,,,,37.5
R. Henshaw,2,,12,2,2,48,,,,1,,,,,,,37
B. Aki,5,,28,1,1,271,,,2,1,2,,,,,,33.2
S. McCloskey,3,,24,,,204,,,1,,1,,,,,,32.9
J. Gibson-Park,2,,6,1,2,93,,,,,1,,,,,,31.3
R. Baird,3,,15,2,,88,,1,2,,,,,,,,27.8
F. Bealham,3,,26,3,,27,,,,,2,,,,,,27.4
R. Kelleher,3,,20,2,,84,,,1,,,,,,,,24
A. Porter,5,,37,,,86,,,2,1,,,,,,,23.9
T. Furlong,2,,22,,,61,,,,,,,,,,,23.3
J. Conan,5,,24,,,184,,,1,1,1,,,,,,21.8
P. O'Mahony,5,,29,4,,99,,,,,,,,,,,20.9
C. Murray,5,,18,1,1,34,,,,,2,,,,,,14.5
R. Herring,3,,12,,,24,,,,1,,,,,,,12
I. Henderson,4,,21,,,52,,,,,,,,,,,11.3
T. O'Toole,5,,19,,,78,,,1,,,,,,,,10.7
R. Byrne,5,,12,,,33,,,,,,5,2,,,,10.5
C. Casey,3,,4,,,19,,,,,1,,,,,,8.4
J. O'Brien,2,,,1,,18,,,,,,,,,,,7.8
D. Kilcoyne,3,,8,1,,18,,,,,,,,,,,7.3
C. Healy,2,,4,,,15,,,,,,,,,,,5.3
K. Treadwell,1,,3,,,,,,,,,,,,,,3.7
J. Crowley,1,,2,,,,,,,,,,,,,,2.2
