,Number of matches,Man of the match,Tackles,Dominant tackles,Line breaks,Meters carried,50-22,Line out steals,Breakdown steal,Try,Assist,Conversion,Penalty,Drop goal,Yellow card,Red card,Average points
A. Capuozzo,3,,5,1,4,301,,,1,1,,,,,,,40.7
T. Allan,5,,21,,4,327,,,,1,1,4,7,,,,35.9
D. Fischetti,5,,46,10,1,146,,,1,,,,,,,,31.8
L. Cannone,5,,50,5,2,305,,,1,,,,,,2,,31.4
S. Negri,5,,41,4,2,275,,,,1,,,,,,,30.6
F. Ruzza,5,,48,5,2,136,,2,,,,,,,,,27.6
T. Menoncello,4,,26,1,4,222,,,,,,,,,,,26.4
G. Nicotera,5,,57,5,,125,,,2,,,,,,,,26.2
P. Garbisi,3,,21,,1,118,,,,,1,2,3,,,,25.9
J. Brex,5,,28,1,1,356,,,,1,,,,,,,25.6
P. Bruno,5,,17,1,2,341,,,,1,1,,,,1,,24.6
M. Zuliani,4,,12,2,1,134,,,4,,,,,,,,22
N. Cannone,5,,42,4,,95,,,,,,,,,,,17.8
L. Morisi,5,,32,2,,210,,,,,,,,,,,17.6
M. Lamaro,5,,47,2,,112,,,,,,,,,,,16.7
M. Riccioni,4,,30,1,,33,,,1,1,,,,,1,,15.2
S. Varney,4,,7,2,,72,,,,1,1,,,,,,14.4
A. Fusco,5,,10,2,2,91,,,,1,,,,,,,14.2
J. Polledri,1,,1,1,,26,,,,,,,,,,,13.2
E. Padovani,4,,5,1,1,152,,,,,,,,,,,12.4
E. Iachizzi,5,,12,1,1,96,,,1,,,,,,,,10.4
S. Ferrari,4,,25,1,,23,,,,,,,,,1,,7.9
L. Bigi,4,,16,2,,6,,,,,,,,,,,7.8
G. Pettinelli,4,,8,,1,51,,,,,,,,,,,6.3
S. Gesi,1,,2,,,16,,,,,,,,,,,5.2
F. Zani,5,,12,1,,23,,,,,,,,,,,4.7
M. Zanon,1,,,,,23,,,,,,,,,,,4.6
A. Garbisi,1,,1,,,14,,,,,,,,,,,3.8
P. Ceccarelli,2,,2,,,28,,,,,,,,,,,3.8
M. Manfredi,1,,,,,11,,,,,,,,,,,2.2
