,Number of matches,Man of the match,Tackles,Dominant tackles,Line breaks,Meters carried,50-22,Line out steals,Breakdown steal,Try,Assist,Conversion,Penalty,Drop goal,Yellow card,Red card,Average points
R. Dyer,4,,16,2,6,313,,,,2,,,,,,,43.2
J. Tipuric,4,,50,8,,85,,2,2,,1,,,,,,41.5
L. Williams,3,,12,,3,239,,,2,2,,,,,2,,40.3
L. Rees-Zammit,3,,6,2,3,272,,,,1,,,,,,,37.8
J. Morgan,3,,39,3,,94,,,3,,,,,,,,35.3
T. Faletau,5,,57,1,,250,,,2,1,,,,,,,30.2
J. Hawkins,4,,22,2,1,277,,,,,,,,,,,26.6
K. Owens,5,,49,5,,127,,,,1,,,,,,,26.4
C. Tshiunza,2,,20,1,,78,,1,,,,,,,,,24.8
A. Beard,5,,47,4,,77,,1,2,,,,,,,,23.9
R. Webb,4,1,16,2,1,45,1,,,,3,,,,1,,23.1
D. Biggar,4,,25,2,1,85,,,1,,1,5,1,,,,23
A. Wainwright,1,,9,1,,28,,,,,,,,,,,21.6
G. North,4,,12,1,2,177,,,,1,,,,,,,21.3
A. Jones,3,,23,2,,58,,1,1,,,,,,,,20.9
J. Adams,5,,20,5,1,148,,,1,,,,,,,,20.7
B. Roberts,2,,8,2,,13,,,,1,,,,,,,19.8
M. Grady,2,,13,,,74,,,,,,,,,,,17.9
G. Thomas,4,,29,2,1,55,,,,,,,,,,,16.1
T. Francis,4,,33,3,,24,,,,,,,,,,,16
D. Jenkins,5,,38,1,,76,,,,,,,,,,,13.4
N. Tompkins,2,,10,,,80,,,,,,,,,,,13
T. Reffell,5,,29,2,,56,,,1,,,,,,,,12.6
T. Williams,5,,15,1,,70,,,,1,1,,,,,,12.1
L. Halfpenny,2,,3,,,60,,,,,,2,1,,,,12
W. Jones,3,,10,1,,55,,,,,,,,,,,10.8
O. Williams,4,,15,,,47,,,,,,2,1,,,,10.4
L. Brown,1,,1,1,,8,,,,,,,,,,,9.6
A. Cuthbert,2,,2,,,75,,,,,,,,,,,8.5
D. Lewis,5,,23,1,,48,,,,,,,,,,,8.5
R. Carre,3,,8,,,47,,,1,,,,,,,,8.1
S. Baldwin,3,,8,,,27,,,,,,,,,,,4.7
R. Patchell,1,,1,,,18,,,,,,,,,,,4.6
K. Hardy,1,,4,,,,,,,,,,,,,,4
R. Davies,2,,3,,,3,,,,,,,,,,,2.4
